YYMM,AY.4,BA.2,BA.1.1,B.1.1.7,BA.1,AY.103,AY.44,BA.1.17.2,BA.2.12.1,AY.3,BA.2.9,AY.43,BA.5.2.1,BA.1.15,AY.25,B.1.617.2,BA.5.1,AY.122,AY.4.2,BA.5.2,XBB.1.5,B.1.2,unclassifiable,AY.100,BQ.1.1,AY.25.1,BA.1.1.18,B.1.177,B.1,AY.5,BA.2.3,BA.1.15.1,AY.98,AY.39,BA.5.5,B.1.526,AY.26,AY.47,BA.4.1,B.1.429,BE.1.1,AY.119,AY.120,AY.4.2.2,BA.1.18,BA.4.6,AY.6,BA.2.10,JN.1,BA.1.17,BA.1.20,BA.1.1.1,BQ.1,B.1.1,AY.126,BA.5.6,AY.20,BF.7,P.1,BA.4,AY.9.2,AY.4.2.1,HV.1,AY.118,AY.75,BA.1.1.14,BA.2.23,BA.1.1.15,AY.9,BA.1.16,AY.46.6,AY.121,BA.2.1,B.1.160,B.1.427,BE.1,BA.5,AY.98.1,JN.1.4,AY.3.1,AY.46.5,BF.5,BF.10,B.1.1.519,AY.117,B.1.637,AY.4.6,AY.125,AY.42,D.2,AY.127,AY.14,AY.54,BA.5.2.9,CH.1.1,AY.129,KP.3.1.1,AY.119.2,BA.1.1.13,AY.33,B.1.243,XBB.1.16,AY.36,B.1.351,BA.5.2.20,AY.7.1,FL.1.5.1,BA.5.1.22,AY.113,XBB.1.16.6,BA.5.1.30,AY.111,BA.2.18,BA.2.8,EG.5.1.1,BA.5.1.1,BF.26,B,AY.39.1,XBB.1,BA.5.1.23,BA.1.1.2,BA.5.1.10,BD.1,B.1.258,B.1.1.529,KP.2.3,B.1.177.7,AY.43.6,BA.2.37,BA.5.1.3,Q.3,BF.1,BE.3,AY.34,AY.46,BA.5.2.6,AY.7,BA.5.2.21,B.1.1.37,AY.13,BA.2.36,JN.1.1,BF.28,AY.46.4,BQ.1.2,B.1.177.4,BA.5.2.3,AY.99.2,BQ.1.1.4,BA.5.9,B.1.621,AY.39.1.1,AD.2,BA.1.1.12,B.1.234,XBB.1.16.11,AY.4.8,AY.114,BF.11,BF.27,EG.5.1,BQ.1.1.20,BA.4.4,BF.21,BA.2.12,BA.5.1.5,EG.5.1.3,XBB.1.5.7,XBB.1.5.13,B.1.240,BQ.1.8,BQ.1.12,B.1.1.222,XBB.1.9.1,B.1.177.57,B.1.369,AY.116.1,AY.34.1,BE.1.1.2,BA.5.1.2,BA.1.1.11,KP.3.1,BA.5.1.24,BQ.1.1.3,P.1.17,B.1.221,CH.1.1.1,AY.4.2.3,BA.2.7,BN.1.3,BF.8,BQ.1.1.18,AY.4.5,AY.110,AY.120.1,AY.107,BA.1.14,HK.3,BN.1.3.1,JN.1.7,DV.6,R.1,BQ.1.10,BA.5.8,A.1,P.1.10,JN.1.4.5,AY.43.4,BQ.1.14,XBB.1.16.1,B.1.1.311,BA.1.12,BF.7.5,B.1.575,EG.5.1.4,KP.2,BQ.1.11,BA.2.10.1,BF.7.4,JD.1.1,BA.4.2,B.1.525,XBB.1.16.15,BA.2.86.1,BA.5.3.1,XE,KP.3.3,AY.2,BA.5.1.25,EG.5.1.6,AY.1,B.1.177.45,B.1.177.81,JG.3,BQ.1.1.5,BN.1.5,BF.14,BQ.1.3.2,BA.5.2.35,B.1.177.86,B.1.311,BN.1,AY.112,BA.5.2.34,BQ.1.18,BA.1.19,BA.4.6.5,LB.1.7,BF.4,XBB.1.5.15,B.1.595,B.1.1.307,BA.5.2.13,JN.1.8.1,BA.5.11,BQ.1.1.2,B.40,GJ.1.2,BA.1.10,XBB.1.5.18,B.1.1.369,XBB.1.9.2,BA.2.13,BQ.1.5,BQ.1.1.8,C.37,AY.4.3,BQ.1.1.1,B.1.36.17,AY.124,B.1.623,XBB.1.5.49,BA.5.3.3,B.1.400,B.1.1.1,AY.36.1,BA.5.3,BA.2.22,FD.2,XBB.1.15,BA.1.1.4,AY.37,BF.24,AY.90,BQ.1.1.32,AY.67,AY.121.1,BA.5.1.6,BA.2.56,AY.5.3,B.1.561,BQ.1.1.69,XBB.1.5.1,BQ.1.1.7,AY.4.9,BA.5.1.27,B.1.1.318,BF.7.4.1,KP.2.2,DY.3,BA.4.1.1,BA.1.15.2,BQ.1.23,B.1.232,AY.43.8,B.1.517,AY.8,BE.1.4,BA.2.3.17,XBF,BE.1.1.1,FL.3,AY.64,B.1.1.434,BA.5.3.2,BN.1.2,AY.23,B.1.177.44,B.1.177.16,FL.4,BA.5.2.22,BA.2.5,XBB.1.5.17,XBB.1.5.20,B.1.177.54,CH.1.1.2,P.2,AY.62,BQ.1.13,B.1.177.15,BA.1.21,B.1.1.39,BF.7.6,BA.1.1.9,JN.1.39,B.1.177.65,AY.4.1,LB.1,BA.2.38,BQ.1.13.1,BA.5.1.18,DN.2,HF.1,BA.2.75.2,AY.48,BA.5.2.26,XBB.1.5.32,XBB.1.5.10,BA.2.41,AY.4.10,EG.6.1,P.1.15,GE.1,BA.5.1.34,BA.2.9.3,AY.41,BA.5.5.1,BA.2.65,B.1.177.56,AY.57,JF.1.1,BA.5.2.28,AY.120.2.1,XBB.2.3,BA.2.14,B.1.596,B.1.177.8,EG.1,BQ.1.1.10,BF.6,B.1.177.87,BA.4.1.8,BA.2.48,AY.35,B.1.1.372,AY.16,AY.10,AY.29,XBB.1.5.52,XBB.1.5.48,AY.4.15,AY.65,B.1.565,B.1.177.17,AY.4.4,KP.1.1.3,B.1.582,BF.13,KP.3,XBB.1.5.16,B.1.1.317,BA.1.13,JN.2,XBB.1.9,AY.84,XBB.1.5.33,KP.3.2,AY.46.1,XBB.1.5.12,BA.1.1.10,B.1.241,BA.5.2.27,XBB.1.5.24,XBB.1.5.4,BQ.1.1.6,FU.1,EF.1,BQ.1.1.24,BA.5.1.12,XB,AY.45,GS.4.1,BK.1,BQ.1.1.41,B.1.258.17,B.1.177.10,B.1.36,AY.109,A,B.1.609,CL.1,BQ.1.1.23,BA.5.2.7,AY.80,GK.1.1,B.1.621.1,BA.5.2.2,XBB.1.5.31,AY.25.3,B.1.1.291,B.1.177.11,XBB.1.5.51,XBB.1.5.46,LB.1.3,BA.2.47,EF.1.1,BF.7.20,B.1.160.16,B.1.110.3,B.1.1.279,BA.5.2.31,BN.1.4.4,HK.6,AY.70,JF.4,BA.2.3.20,XBB,AY.122.3,BG.5,AY.32,KP.3.2.3,BA.5.2.23,BQ.1.25,B.1.177.6,BQ.1.1.22,AY.5.4,AY.4.7,BA.5.2.18,B.1.93,JN.1.13.1,BF.2,JN.1.9,KP.3.1.4,BQ.1.1.15,B.1.577,XBB.1.5.21,BQ.1.1.51,B.1.426,BQ.1.15,FL.5,XBB.1.5.37,KP.1.1.1,DU.1,B.1.1.316,XBB.1.5.11
2009,1,1,0,6,2,0,1,0,1,1,0,10,0,0,0,4,0,8,0,1,0,2328,632,0,0,2,0,4533,1575,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1782,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,392,1,0,641,0,0,0,0,0,0,0,0,0,0,0,1274,0,0,0,0,0,0,321,0,0,0,0,0,0,1206,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,95,0,400,486,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,465,20,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,143,705,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,572,0,0,0,0,97,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,48,0,15,0,0,0,0,0,0,0,62,0,0,0,13,32,0,0,0,0,0,61,0,3,0,0,104,0,17,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,10,103,0,0,0,78,0,0,0,42,0,0,0,0,0,0,1,275,102,0,0,176,0,0,0,9,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,59,0,3,33,0,0,0,0,0,0,0,0,1,45,428,0,0,0,0,0,0,0,29,157,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,23,0,0,78,0,0,0,0,0,18,0
2010,10,1,0,89,0,3,4,0,2,0,0,18,0,0,3,7,0,18,0,0,0,4539,1484,6,0,1,0,11050,1899,0,0,0,1,0,0,1,0,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,746,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,1,0,2369,15,0,0,1,0,0,0,0,0,0,0,4,1,10,5,31,0,0,0,0,0,3,0,0,0,1,575,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,769,5,0,1266,0,0,0,0,0,0,0,0,0,0,0,1598,0,0,0,0,0,0,1518,0,0,0,0,0,0,1428,0,305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,506,0,1049,430,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,60,0,0,0,0,0,0,13,74,0,1,0,0,0,0,0,0,0,193,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,2,0,0,0,286,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,100,1,28,0,0,0,0,0,0,0,163,0,0,0,147,336,0,0,0,0,0,446,0,6,0,0,293,0,151,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,18,404,0,0,0,354,0,0,0,43,1,0,0,0,0,0,0,233,413,0,0,235,0,0,0,13,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,112,0,6,86,0,0,0,0,0,0,0,0,0,20,288,0,0,0,0,0,0,63,52,373,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,36,0,0,91,0,0,0,0,0,62,0
2011,3,0,17,2472,3,1,1,0,0,0,1,1,0,1,0,2,0,0,0,0,1,9111,1390,0,0,0,1,14869,2067,1,0,0,0,0,0,3,0,0,0,366,0,0,0,0,0,0,0,0,0,1,0,1,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,139,0,0,0,0,1,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,1,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,899,3,0,1403,0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,0,1669,0,0,0,0,0,0,1055,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,467,0,1296,339,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,148,0,0,0,0,0,0,11,309,0,0,0,0,0,0,0,0,0,209,462,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,531,0,0,0,0,326,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,308,0,61,0,0,0,0,0,0,0,198,0,0,0,374,505,0,0,0,0,0,439,0,66,0,0,508,0,361,0,0,0,356,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,91,366,0,0,0,492,0,0,0,27,0,0,0,0,0,0,0,242,433,0,0,146,0,0,0,18,0,0,0,0,1,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,8,174,164,0,13,133,0,0,0,0,0,0,0,0,0,11,181,0,0,0,0,0,0,209,92,165,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,69,0,0,36,0,0,0,0,0,130,0
2012,2,7,21,19042,3,1,2,1,0,0,2,2,0,0,0,13,0,2,0,0,6,12319,2006,0,0,2,1,11921,2547,1,0,0,0,0,0,34,0,0,0,2614,0,0,0,0,0,0,0,1,0,0,0,0,0,816,0,0,0,0,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1342,1168,0,0,0,0,0,0,0,0,134,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1660,0,0,743,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,965,2,0,1738,0,0,0,2,0,0,0,0,0,0,0,399,0,0,0,0,0,0,752,0,0,0,0,6,0,267,0,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,746,0,753,416,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,174,0,0,53,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,166,189,0,0,0,0,0,0,34,605,0,0,0,0,0,0,0,0,0,309,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,7,0,0,405,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,575,0,250,0,0,0,0,0,0,0,430,0,0,0,447,416,0,0,0,0,0,411,0,140,0,0,452,0,310,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,166,236,0,0,0,254,0,0,0,6,0,0,0,0,0,0,0,158,242,0,0,124,0,0,0,40,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,189,318,160,0,16,188,0,0,0,0,0,0,0,0,0,13,155,0,0,0,0,0,0,348,179,10,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,0,0,1,0,0,0,0,0,218,0,0,22,0,0,0,0,0,106,0
21,9,0,8,1229,10,206,134,0,0,114,0,2,0,11,125,88,0,19,0,0,0,35,32,40,0,68,7,12,11,6,0,0,0,69,0,5,16,25,0,7,0,34,0,0,6,0,0,0,0,1,1,0,0,5,2,0,6,0,21,0,1,0,0,20,18,0,0,0,0,0,0,0,0,0,2,0,1,0,0,7,0,0,0,7,8,9,0,1,0,0,4,5,1,0,0,0,0,1,0,0,2,0,1,15,0,0,0,0,15,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2101,23,6,41,67625,27,5,2,10,1,2,0,11,0,9,2,11,0,6,1,0,3,17342,4523,1,0,0,5,7866,2028,1,0,4,1,1,0,428,2,0,0,4768,0,0,0,2,2,0,0,0,0,1,1,0,0,812,4,0,0,0,76,0,6,1,0,0,1,0,0,0,0,1,2,3,0,3018,2358,1,0,2,0,0,0,0,0,853,0,138,0,0,5,0,0,0,0,0,0,1,0,0,1,0,1667,0,2,723,0,0,0,0,1,0,0,0,0,0,0,1,0,41,1,1,0,3,0,0,1098,2,0,695,0,0,0,59,0,0,0,0,0,0,0,111,0,0,0,0,0,0,443,0,0,0,0,10,0,55,0,1096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,260,0,0,642,0,222,215,0,0,0,0,1,0,0,0,2,844,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,142,0,0,0,2,0,0,0,0,50,0,0,214,0,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,10,524,0,0,0,0,0,0,588,514,0,0,0,1,0,0,0,0,0,151,13,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,41,1,58,0,0,515,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,0,28,0,0,0,0,0,0,301,0,381,0,0,0,0,0,0,0,399,0,0,1,431,267,0,0,0,0,0,180,0,289,0,0,125,0,320,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,0,0,320,173,0,0,0,61,0,0,0,1,0,0,0,0,0,0,0,111,81,0,0,113,0,0,0,183,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,319,409,123,0,24,210,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,380,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,277,0,0,2,0,0,0,0,0,261,0
2102,16,0,7,81642,4,3,1,2,0,1,1,17,0,1,4,10,0,7,0,0,0,18038,3531,2,0,0,1,2278,1944,2,0,1,1,2,0,3254,0,0,0,7727,0,0,0,0,0,0,0,0,0,2,0,0,0,948,0,0,0,0,141,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2176,3665,0,0,0,0,0,3,0,0,2822,0,755,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1687,0,7,916,0,1,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,1016,1,0,277,0,0,0,244,0,0,0,0,0,0,0,16,1,0,0,0,0,0,79,0,0,0,0,1,0,5,0,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,692,0,12,80,0,0,0,0,0,0,0,0,4,793,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,667,0,0,0,14,0,0,0,0,6,0,0,705,0,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,0,0,1019,0,0,0,0,0,0,1209,438,0,0,0,0,0,0,0,0,0,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,8,2,332,0,0,148,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,111,0,0,0,0,0,0,166,0,589,0,0,0,0,0,0,0,307,0,0,0,69,37,0,0,0,0,0,13,0,478,0,0,74,0,157,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,376,77,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,64,4,0,0,80,0,0,0,459,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,4,1,0,0,0,267,109,54,1,18,150,0,0,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,62,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,228,0,0,1,0,0,0,0,0,197,0
2103,14,2,4,147822,2,1,3,1,0,0,0,15,0,0,2,72,0,6,0,0,0,13649,2087,0,0,0,0,752,2207,1,0,3,0,0,0,11734,2,0,0,10478,0,0,0,0,0,0,1,0,0,0,0,0,0,777,0,0,0,0,1425,0,2,0,0,0,0,0,0,0,1,0,1,0,0,702,4669,0,0,1,0,0,0,0,0,4905,0,3419,0,0,3,0,0,1,0,0,0,0,0,0,0,0,947,0,2,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,1,641,9,0,23,0,0,0,795,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,57,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,523,0,2,16,0,0,0,0,0,0,0,0,307,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,0,0,0,263,0,0,0,0,1,0,0,1259,0,0,0,0,0,0,0,791,0,0,0,0,0,0,0,0,0,0,486,0,1,0,0,0,0,573,375,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,1,888,0,0,49,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,407,0,0,0,0,0,0,92,0,345,0,0,0,0,0,0,0,100,0,0,0,20,2,0,0,0,0,0,2,0,473,0,0,5,0,44,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,357,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,31,0,0,0,456,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,86,0,0,0,0,338,2,54,0,20,85,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,15,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,211,0
2104,231,2,0,161568,1,5,66,0,0,12,0,7,0,1,18,1948,0,97,0,0,0,2944,888,1,0,0,2,169,828,59,0,0,6,5,0,14559,31,1,0,4973,0,2,2,0,0,0,26,0,0,0,0,0,0,462,8,0,0,0,5507,0,2,0,0,2,24,0,0,0,72,0,0,1,0,39,1884,0,0,0,0,0,0,0,0,3565,0,4324,0,0,5,0,3,9,0,0,0,0,0,0,0,1,121,0,3,2145,0,0,0,0,0,0,0,44,0,0,0,0,0,30,0,0,0,0,0,0,64,16,0,1,0,0,0,2251,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,370,0,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,159,0,2,5,0,0,0,0,0,0,0,0,1099,50,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,711,0,0,0,1107,0,0,0,0,6,0,0,596,0,0,0,0,0,0,0,778,0,0,0,0,0,0,0,0,11,0,58,0,0,0,0,0,0,88,67,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,688,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,566,0,0,0,0,0,0,47,0,32,44,0,0,0,0,0,0,10,0,0,0,6,3,0,0,0,0,0,3,0,147,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,2,0,7,0,0,0,0,0,45,0,0,0,0,2,0,0,0,2,4,24,0,0,0,0,8,2,0,0,0,4,0,0,0,62,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0,0,0,0,194,0,0,0,0,51,0,17,0,7,5,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,1,0,0,0,0,0,6,0
2105,16705,0,1,100344,3,58,694,0,1,65,0,1,0,0,233,4520,0,465,1,0,0,194,931,6,0,4,0,29,540,1648,0,0,566,21,0,5678,123,4,0,855,0,42,472,0,1,0,694,0,0,0,0,0,0,237,1,0,5,0,5434,0,1,0,0,0,88,0,0,0,2112,0,0,3,0,9,437,0,0,0,0,0,1,0,0,973,135,2330,0,0,0,0,2,29,10,0,0,0,0,0,0,0,7,0,3,1269,0,0,0,0,0,0,0,147,0,0,0,0,0,48,3,0,0,0,0,0,7,7,0,0,0,0,0,1645,0,0,0,22,0,510,0,1,70,0,0,0,5,0,1,0,2,0,0,663,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,39,0,0,1,0,0,0,0,0,0,0,0,767,4,0,0,0,0,0,0,0,10,4,8,0,0,0,0,0,114,0,0,0,822,0,0,0,0,1,0,0,101,0,0,0,0,0,0,0,399,0,0,0,0,0,35,0,0,70,0,8,0,0,0,0,0,0,11,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,3,0,0,3,107,0,0,0,8,0,0,0,0,0,0,0,0,26,0,16,0,0,0,0,6,0,0,0,0,0,432,0,0,0,0,0,0,2,0,0,474,0,0,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,244,0,0,0,0,0,0,1,76,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,34,403,0,0,0,0,62,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,176,6,0,0,0,7,1,0,0,4,1,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
