Accession,Pangolin,PangoVersions,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Release_Date
MZ317965.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29786,complete,China: Anyan,China,Homo sapiens,2020-01-27,2025-03-01
MZ317966.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29714,complete,China: Anyan,China,Homo sapiens,2020-01-27,2025-03-01
MZ317967.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29788,complete,China: Anyan,China,Homo sapiens,2020-01-27,2025-03-01
MZ317968.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29788,complete,China: Anyan,China,Homo sapiens,2020-01-27,2025-03-01
MZ317969.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29804,complete,China: Anyan,China,Homo sapiens,2020-01-28,2025-03-01
MZ317970.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29730,complete,China: Anyan,China,Homo sapiens,2020-01-29,2025-03-01
MZ317971.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29795,complete,China: Anyan,China,Homo sapiens,2020-01-29,2025-03-01
MZ317972.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29839,complete,China: Anyan,China,Homo sapiens,2020-01-29,2025-03-01
MZ317973.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29809,complete,China: Anyan,China,Homo sapiens,2020-01-30,2025-03-01
MZ317974.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29688,complete,China: Anyan,China,Homo sapiens,2020-01-30,2025-03-01
MZ317975.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29820,complete,China: Anyan,China,Homo sapiens,2020-01-30,2025-03-01
MZ317976.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29787,complete,China: Anyan,China,Homo sapiens,2020-01-30,2025-03-01
MZ317977.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29826,complete,China: Anyan,China,Homo sapiens,2020-01-30,2025-03-01
MZ317978.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29690,complete,China: Anyan,China,Homo sapiens,2020-01-31,2025-03-01
MZ317979.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29834,complete,China: Anyan,China,Homo sapiens,2020-01-31,2025-03-01
MZ317980.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29785,complete,China: Anyan,China,Homo sapiens,2020-01-31,2025-03-01
MZ317981.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29814,complete,China: Anyan,China,Homo sapiens,2020-02-01,2025-03-01
MZ317982.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29805,complete,China: Anyan,China,Homo sapiens,2020-02-01,2025-03-01
MZ317983.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29773,complete,China: Anyan,China,Homo sapiens,2020-02-01,2025-03-01
MZ317984.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29764,complete,China: Anyan,China,Homo sapiens,2020-02-02,2025-03-01
MZ317985.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29787,complete,China: Anyan,China,Homo sapiens,2020-02-02,2025-03-01
MZ317986.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29815,complete,China: Anyan,China,Homo sapiens,2020-02-02,2025-03-01
MZ317987.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29784,complete,China: Anyan,China,Homo sapiens,2020-02-02,2025-03-01
MZ317988.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29819,complete,China: Anyan,China,Homo sapiens,2020-02-03,2025-03-01
MZ317989.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29820,complete,China: Anyan,China,Homo sapiens,2020-02-03,2025-03-01
MZ317990.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29785,complete,China: Anyan,China,Homo sapiens,2020-02-04,2025-03-01
MZ317991.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29787,complete,China: Anyan,China,Homo sapiens,2020-02-04,2025-03-01
MZ317992.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29717,complete,China: Anyan,China,Homo sapiens,2020-02-04,2025-03-01
MZ317993.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29785,complete,China: Anyan,China,Homo sapiens,2020-02-05,2025-03-01
MZ317994.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29788,complete,China: Anyan,China,Homo sapiens,2020-02-05,2025-03-01
MZ317995.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29826,complete,China: Anyan,China,Homo sapiens,2020-02-06,2025-03-01
MZ317996.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29802,complete,China: Anyan,China,Homo sapiens,2020-02-06,2025-03-01
MZ317997.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29787,complete,China: Anyan,China,Homo sapiens,2020-02-07,2025-03-01
MZ317998.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29764,complete,China: Anyan,China,Homo sapiens,2020-02-07,2025-03-01
MZ317999.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29765,complete,China: Anyan,China,Homo sapiens,2020-02-08,2025-03-01
MZ318000.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29839,complete,China: Anyan,China,Homo sapiens,2020-02-08,2025-03-01
MZ318001.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29691,complete,China: Anyan,China,Homo sapiens,2020-02-09,2025-03-01
MZ318002.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29691,complete,China: Anyan,China,Homo sapiens,2020-02-10,2025-03-01
MZ318003.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29873,complete,China: Anyan,China,Homo sapiens,2020-02-11,2025-03-01
MZ318004.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29819,complete,China: Anyan,China,Homo sapiens,2020-02-11,2025-03-01
MZ318005.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29814,complete,China: Anyan,China,Homo sapiens,2020-02-12,2025-03-01
MZ318034.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29923,complete,China: Wuhan,China,Homo sapiens,2020-02-12,2025-03-01
MZ318006.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29809,complete,China: Anyan,China,Homo sapiens,2020-02-14,2025-03-01
MZ318007.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29806,complete,China: Anyan,China,Homo sapiens,2020-02-14,2025-03-01
MZ318008.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29787,complete,China: Anyan,China,Homo sapiens,2020-02-16,2025-03-01
MZ318009.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29785,complete,China: Anyan,China,Homo sapiens,2020-02-17,2025-03-01
MZ318010.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29746,partial,China: Anyan,China,Homo sapiens,2020-02-19,2025-03-01
MZ318011.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29792,complete,China: Anyan,China,Homo sapiens,2020-02-19,2025-03-01
MZ318012.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29783,complete,China: Anyan,China,Homo sapiens,2020-02-19,2025-03-01
MZ318013.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29688,complete,China: Anyan,China,Homo sapiens,2020-02-19,2025-03-01
MZ318014.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29859,complete,China: Anyan,China,Homo sapiens,2020-02-19,2025-03-01
MZ318015.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29823,complete,China: Anyan,China,Homo sapiens,2020-02-23,2025-03-01
MZ317938.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29823,complete,China: Wuhan,China,Homo sapiens,2020-03-09,2025-03-01
MZ317939.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29865,complete,China: Wuhan,China,Homo sapiens,2020-03-12,2025-03-01
MZ317940.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29819,complete,China: Wuhan,China,Homo sapiens,2020-03-15,2025-03-01
MZ317941.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29826,complete,China: Wuhan,China,Homo sapiens,2020-03-15,2025-03-01
PX622476.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,China: Beijing,China,Homo sapiens,2020-03-16,2025-11-27
PQ540533.1,B.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-17,2024-10-31
PP902199.1,B.1.1.33,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29817,complete,Brazil,Brazil,Homo sapiens,2020-03-18,2025-07-13
PV612065.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29693,complete,Sweden,Sweden,Homo sapiens,2020-03-18,2025-05-08
PQ540356.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,Denmark,Denmark,Homo sapiens,2020-03-18,2024-10-31
PQ540537.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-19,2024-10-31
PV612066.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29714,complete,Sweden,Sweden,Homo sapiens,2020-03-20,2025-05-08
PQ540461.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,Mexico,Mexico,Homo sapiens,2020-03-21,2024-10-31
PQ540509.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29801,partial,USA,USA,Homo sapiens,2020-03-21,2024-10-31
PQ540541.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29796,partial,USA,USA,Homo sapiens,2020-03-21,2024-10-31
PV612055.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29829,complete,Sweden,Sweden,Homo sapiens,2020-03-22,2025-05-08
PV612056.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29829,partial,Sweden,Sweden,Homo sapiens,2020-03-22,2025-05-08
PQ540317.1,A.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-22,2024-10-31
PQ540325.1,A.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-23,2024-10-31
PQ540327.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,South Korea,South Korea,Homo sapiens,2020-03-23,2024-10-31
PQ540377.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-23,2024-10-31
PQ540462.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,Mexico,Mexico,Homo sapiens,2020-03-23,2024-10-31
PQ540335.1,B.41,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,South Korea,South Korea,Homo sapiens,2020-03-24,2024-10-31
PQ540346.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-24,2024-10-31
PQ540363.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-24,2024-10-31
PQ540389.1,B.1.450,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-24,2024-10-31
PQ540451.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-24,2024-10-31
PQ540558.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-24,2024-10-31
PV612057.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29820,complete,Sweden,Sweden,Homo sapiens,2020-03-25,2025-05-08
PQ540450.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-25,2024-10-31
PQ540480.1,B.1.428,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,Denmark,Denmark,Homo sapiens,2020-03-25,2024-10-31
PQ540573.1,B.46,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-25,2024-10-31
PQ540588.1,B.46,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-25,2024-10-31
MZ317942.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29822,complete,China: Wuhan,China,Homo sapiens,2020-03-26,2025-03-01
MZ317943.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29822,complete,China: Wuhan,China,Homo sapiens,2020-03-26,2025-03-01
PQ540315.1,B.33,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-26,2024-10-31
PQ540362.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-26,2024-10-31
PQ540424.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29696,partial,USA,USA,Homo sapiens,2020-03-26,2024-10-31
PQ540433.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-26,2024-10-31
PQ540440.1,A.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,complete,USA,USA,Homo sapiens,2020-03-26,2024-10-31
PQ540452.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-26,2024-10-31
MZ317944.1,B,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29813,complete,China: Wuhan,China,Homo sapiens,2020-03-27,2025-03-01
PQ540314.1,B.33,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540352.1,B.1.409,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,complete,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540354.1,B.1.320,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540392.1,A.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540400.1,A.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540410.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29668,partial,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540415.1,B.1.163,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540441.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540557.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-27,2024-10-31
PQ540429.1,B.1.166,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-28,2024-10-31
PQ540560.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-28,2024-10-31
PQ540337.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-29,2024-10-31
PQ540382.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-29,2024-10-31
PQ540386.1,A.2.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-29,2024-10-31
PQ540388.1,B.1.450,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-29,2024-10-31
PQ540444.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-29,2024-10-31
PQ540463.1,B.1.609,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,Mexico,Mexico,Homo sapiens,2020-03-29,2024-10-31
PQ540517.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-29,2024-10-31
PQ540522.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-29,2024-10-31
PQ540587.1,B.46,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-29,2024-10-31
PQ540393.1,A.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,complete,USA,USA,Homo sapiens,2020-03-30,2024-10-31
PQ540449.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-30,2024-10-31
PQ540507.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-30,2024-10-31
MZ317945.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29822,complete,China: Wuhan,China,Homo sapiens,2020-03-31,2025-03-01
PQ540338.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540360.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540376.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540416.1,B.1.330,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540454.1,B.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540469.1,B.1.302,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540538.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540578.1,B.1.110.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540583.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PQ540590.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-03-31,2024-10-31
PZ379721.1,B.1.525,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29649,partial,"Nigeria: Ebonyi, Abakaliki",Nigeria,Homo sapiens,2020-04,2026-05-07
PQ540331.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29791,partial,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PQ540339.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PQ540351.1,B.1.1.7,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29783,partial,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PQ540421.1,A.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29668,partial,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PQ540488.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29828,complete,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PQ540505.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PQ540551.1,A,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PQ540570.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PQ540572.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29827,partial,USA,USA,Homo sapiens,2020-04-01,2024-10-31
PV612058.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29903,complete,Sweden,Sweden,Homo sapiens,2020-04-02,2025-05-08
PQ540328.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29791,partial,USA,USA,Homo sapiens,2020-04-02,2024-10-31
PQ540332.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29791,partial,USA,USA,Homo sapiens,2020-04-02,2024-10-31
PQ540347.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-04-02,2024-10-31
PQ540387.1,A.2.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-04-02,2024-10-31
PQ540417.1,B.1.330,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-04-02,2024-10-31
PQ540425.1,A.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29665,partial,USA,USA,Homo sapiens,2020-04-02,2024-10-31
PQ540474.1,B.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,USA,USA,Homo sapiens,2020-04-02,2024-10-31
PQ540479.1,B.1.428,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,29800,partial,Denmark,Denmark,Homo sapiens,2020-04-02,2024-10-31
